iter	Passed	Remaining
0	156	156271
1	158	78971
2	159	53162
3	161	40286
4	163	32542
5	165	27361
6	166	23675
7	168	20917
8	170	18758
9	171	17015
10	173	15591
11	175	14419
12	176	13427
13	178	12541
14	178	11751
15	180	11074
16	181	10467
17	181	9922
18	182	9435
19	183	8985
20	184	8577
21	184	8210
22	185	7869
23	185	7558
24	186	7274
25	187	7017
26	188	6775
27	188	6550
28	189	6338
29	189	6139
30	190	5952
31	190	5777
32	191	5615
33	192	5460
34	192	5313
35	193	5176
36	193	5046
37	194	4928
38	195	4814
39	196	4704
40	196	4598
41	197	4499
42	197	4404
43	198	4321
44	199	4242
45	200	4164
46	201	4089
47	202	4016
48	203	3942
49	203	3869
50	204	3798
51	204	3730
52	205	3665
53	205	3601
54	206	3540
55	206	3481
56	207	3424
57	207	3369
58	208	3317
59	208	3266
60	208	3216
61	209	3168
62	210	3127
63	210	3085
64	211	3045
65	212	3004
66	212	2962
67	213	2919
68	213	2880
69	214	2843
70	214	2806
71	214	2770
72	215	2735
73	215	2702
74	216	2669
75	216	2638
76	217	2607
77	218	2577
78	218	2548
79	219	2519
80	219	2491
81	220	2463
82	220	2436
83	221	2410
84	221	2382
85	221	2357
86	222	2331
87	222	2306
88	223	2283
89	223	2260
90	224	2238
91	224	2216
92	225	2196
93	225	2178
94	226	2160
95	227	2139
96	227	2119
97	228	2100
98	228	2080
99	229	2062
100	229	2043
101	229	2023
102	230	2005
103	230	1988
104	231	1971
105	231	1954
106	232	1937
107	232	1921
108	233	1905
109	233	1889
110	234	1874
111	234	1859
112	234	1844
113	235	1829
114	235	1815
115	236	1800
116	236	1786
117	237	1773
118	237	1759
119	238	1746
120	238	1733
121	239	1720
122	239	1706
123	240	1697
124	241	1687
125	241	1677
126	242	1665
127	242	1652
128	243	1640
129	243	1629
130	243	1618
131	244	1607
132	245	1597
133	245	1586
134	245	1576
135	246	1565
136	246	1555
137	247	1544
138	247	1534
139	248	1525
140	248	1515
141	249	1505
142	249	1496
143	250	1487
144	250	1477
145	251	1468
146	251	1459
147	252	1450
148	252	1442
149	252	1433
150	253	1425
151	253	1416
152	254	1408
153	254	1400
154	255	1393
155	256	1386
156	257	1380
157	257	1374
158	258	1366
159	258	1359
160	259	1351
161	259	1343
162	260	1336
163	260	1329
164	261	1322
165	261	1315
166	262	1307
167	262	1300
168	263	1293
169	263	1287
170	264	1280
171	264	1273
172	265	1267
173	265	1260
174	266	1254
175	266	1247
176	267	1241
177	267	1235
178	268	1229
179	268	1223
180	268	1216
181	269	1209
182	269	1203
183	270	1197
184	271	1193
185	271	1188
186	272	1183
187	272	1177
188	273	1172
189	274	1168
190	274	1162
191	275	1157
192	275	1151
193	275	1146
194	276	1141
195	276	1135
196	277	1130
197	277	1125
198	278	1120
199	278	1115
200	279	1110
201	279	1104
202	280	1099
203	280	1094
204	281	1090
205	281	1085
206	282	1080
207	282	1075
208	283	1071
209	283	1066
210	284	1062
211	284	1057
212	285	1054
213	285	1050
214	286	1046
215	287	1042
216	287	1038
217	288	1033
218	288	1029
219	289	1025
220	289	1020
221	290	1016
222	290	1012
223	291	1008
224	291	1004
225	291	999
226	292	995
227	292	991
228	293	987
229	293	983
230	294	979
231	294	975
232	295	971
233	295	967
234	296	964
235	296	960
236	297	956
237	297	952
238	298	948
239	298	945
240	298	941
241	299	938
242	299	934
243	300	932
244	302	931
245	302	928
246	303	925
247	304	921
248	304	918
249	304	914
250	305	911
251	305	908
252	306	904
253	306	901
254	307	898
255	307	894
256	308	891
257	308	888
258	309	885
259	309	882
260	310	878
261	310	875
262	311	872
263	311	869
264	312	866
265	312	863
266	313	860
267	313	856
268	314	853
269	314	850
270	315	847
271	315	845
272	316	842
273	317	841
274	317	838
275	318	835
276	318	832
277	319	829
278	319	826
279	320	823
280	320	820
281	321	817
282	321	814
283	322	812
284	322	809
285	323	807
286	323	804
287	324	801
288	324	799
289	325	796
290	325	793
291	326	791
292	326	788
293	327	785
294	327	783
295	328	780
296	328	777
297	329	775
298	329	772
299	330	770
300	331	768
301	332	768
302	333	766
303	333	763
304	334	762
305	335	760
306	336	760
307	337	758
308	338	757
309	339	756
310	340	754
311	341	753
312	342	751
313	343	750
314	344	748
315	345	748
316	347	747
317	348	747
318	349	746
319	350	745
320	351	744
321	352	743
322	353	741
323	355	741
324	356	740
325	357	738
326	358	737
327	359	736
328	360	735
329	362	735
330	363	734
331	365	734
332	366	734
333	367	733
334	368	731
335	369	730
336	370	729
337	371	728
338	373	729
339	374	727
340	376	727
341	377	726
342	378	724
343	379	723
344	380	722
345	381	721
346	382	720
347	383	718
348	383	716
349	384	714
350	385	712
351	386	711
352	387	710
353	388	709
354	389	707
355	390	706
356	391	705
357	392	704
358	393	702
359	394	701
360	395	700
361	396	699
362	397	698
363	398	696
364	399	695
365	400	694
366	402	694
367	404	694
368	405	692
369	406	691
370	407	690
371	408	689
372	409	687
373	410	687
374	411	686
375	412	685
376	413	683
377	414	681
378	415	680
379	416	679
380	417	678
381	419	678
382	420	677
383	421	675
384	423	676
385	424	675
386	425	673
387	427	673
388	428	672
389	429	671
390	429	669
391	430	667
392	431	665
393	431	664
394	433	663
395	435	663
396	435	661
397	436	660
398	437	658
399	438	657
400	438	655
401	439	654
402	440	652
403	441	650
404	442	649
405	443	648
406	444	647
407	445	645
408	446	644
409	447	643
410	448	642
411	448	640
412	449	638
413	450	637
414	450	635
415	451	634
416	452	632
417	453	631
418	454	629
419	454	627
420	455	625
421	455	624
422	456	622
423	456	620
424	457	618
425	457	616
426	458	614
427	458	612
428	458	610
429	459	609
430	459	607
431	460	605
432	460	603
433	461	601
434	461	599
435	462	598
436	463	596
437	463	595
438	464	593
439	465	591
440	465	590
441	466	588
442	466	586
443	467	585
444	468	584
445	468	582
446	469	581
447	470	579
448	470	577
449	471	576
450	471	574
451	472	572
452	472	570
453	473	569
454	473	567
455	474	565
456	474	564
457	475	562
458	475	560
459	476	558
460	476	557
461	477	555
462	477	554
463	478	552
464	478	550
465	479	549
466	479	547
467	480	545
468	480	544
469	481	542
470	481	541
471	482	539
472	482	537
473	483	536
474	483	534
475	484	533
476	484	531
477	485	529
478	485	528
479	486	526
480	486	525
481	487	523
482	487	521
483	488	520
484	488	518
485	488	517
486	489	515
487	489	513
488	490	512
489	490	510
490	491	509
491	491	507
492	492	506
493	492	504
494	493	503
495	493	501
496	494	500
497	494	498
498	495	497
499	495	495
500	496	494
501	496	492
502	497	491
503	497	489
504	498	488
505	498	486
506	499	485
507	499	483
508	500	482
509	500	481
510	501	479
511	502	478
512	502	477
513	504	476
514	504	475
515	505	474
516	506	473
517	507	472
518	508	471
519	509	470
520	509	468
521	510	467
522	510	466
523	511	464
524	512	463
525	512	462
526	513	460
527	513	459
528	514	457
529	514	456
530	515	455
531	516	454
532	516	452
533	517	451
534	517	450
535	518	448
536	519	447
537	519	446
538	520	444
539	520	443
540	521	442
541	521	440
542	522	439
543	523	438
544	523	437
545	524	435
546	524	434
547	525	433
548	525	432
549	526	430
550	527	429
551	527	428
552	528	427
553	529	426
554	530	425
555	531	424
556	532	423
557	533	422
558	533	421
559	534	420
560	535	419
561	536	417
562	536	416
563	537	415
564	537	414
565	538	412
566	539	411
567	539	410
568	540	409
569	540	407
570	541	406
571	541	405
572	542	403
573	542	402
574	542	401
575	543	400
576	543	398
577	544	397
578	544	396
579	545	394
580	545	393
581	546	392
582	546	391
583	547	389
584	547	388
585	548	387
586	548	385
587	549	384
588	549	383
589	550	382
590	550	380
591	550	379
592	551	378
593	551	377
594	552	376
595	553	375
596	554	374
597	554	372
598	555	371
599	555	370
600	556	369
601	557	368
602	557	367
603	558	365
604	558	364
605	559	363
606	559	362
607	560	361
608	560	359
609	561	358
610	561	357
611	561	356
612	562	355
613	562	353
614	563	352
615	563	351
616	564	350
617	564	349
618	565	347
619	565	346
620	566	345
621	566	344
