iter	Passed	Remaining
0	86	86242
1	87	43464
2	87	29158
3	88	21987
4	89	17805
5	92	15258
6	93	13236
7	94	11671
8	94	10457
9	95	9474
10	96	8677
11	97	8053
12	98	7486
13	99	6993
14	100	6566
15	100	6189
16	101	5855
17	101	5557
18	103	5354
19	106	5237
20	107	5031
21	108	4835
22	109	4649
23	110	4491
24	111	4350
25	112	4202
26	112	4066
27	113	3938
28	114	3817
29	114	3706
30	115	3602
31	115	3507
32	116	3414
33	117	3336
34	119	3300
35	120	3228
36	121	3161
37	122	3093
38	122	3027
39	123	2966
40	125	2926
41	126	2876
42	126	2821
43	127	2767
44	127	2715
45	128	2665
46	129	2620
47	129	2576
48	130	2536
49	131	2494
50	132	2472
51	134	2459
52	135	2424
53	136	2388
54	137	2369
55	138	2337
56	139	2303
57	139	2270
58	140	2237
59	140	2206
60	141	2178
61	142	2150
62	142	2125
63	143	2099
64	144	2073
65	144	2048
66	145	2024
67	145	2000
68	147	1986
69	148	1968
70	149	1951
71	149	1931
72	150	1909
73	151	1890
74	151	1871
75	152	1851
76	152	1832
77	153	1813
78	154	1796
79	154	1778
80	155	1762
81	155	1745
82	156	1725
83	156	1711
84	157	1698
85	158	1683
86	159	1668
87	159	1654
88	160	1640
89	160	1626
90	162	1618
91	162	1607
92	164	1607
93	165	1596
94	166	1585
95	167	1573
96	167	1562
97	168	1553
98	169	1541
99	170	1530
100	170	1519
101	171	1507
102	171	1496
103	172	1484
104	172	1474
105	173	1463
106	174	1453
107	174	1443
108	175	1433
109	176	1424
110	176	1414
111	178	1414
112	179	1406
113	179	1398
114	180	1390
115	181	1381
116	181	1372
117	182	1363
118	183	1355
119	183	1346
120	184	1338
121	184	1329
122	185	1321
123	185	1312
124	186	1305
125	187	1297
126	187	1289
127	188	1281
128	188	1274
129	189	1267
130	189	1260
131	190	1252
132	191	1245
133	191	1240
134	192	1235
135	193	1228
136	194	1222
137	194	1217
138	195	1210
139	196	1204
140	196	1198
141	197	1191
142	197	1185
143	198	1179
144	199	1173
145	199	1167
146	200	1162
147	200	1156
148	201	1150
149	202	1145
150	202	1139
151	203	1133
152	203	1128
153	204	1123
154	205	1118
155	205	1112
156	206	1107
157	207	1107
158	208	1103
159	209	1098
160	209	1091
161	210	1087
162	210	1082
163	211	1077
164	212	1073
165	212	1068
166	213	1064
167	213	1059
168	214	1055
169	215	1050
170	215	1046
171	216	1041
172	217	1037
173	217	1032
174	218	1028
175	218	1024
176	219	1019
177	219	1015
178	220	1011
179	221	1007
180	222	1004
181	223	1002
182	223	998
183	224	994
184	224	990
185	225	986
186	226	982
187	226	979
188	227	975
189	227	971
190	228	967
191	229	964
192	229	960
193	230	956
194	230	952
195	231	949
196	231	945
197	232	941
198	233	937
199	233	934
200	234	930
201	234	927
202	235	924
203	236	921
204	236	918
205	238	917
206	238	915
207	239	912
208	240	909
209	240	905
210	241	902
211	242	899
212	242	896
213	243	893
214	243	890
215	244	887
216	245	884
217	245	881
218	246	878
219	246	875
220	247	872
221	248	869
222	248	867
223	249	864
224	250	861
225	250	858
226	251	855
227	251	853
228	252	851
229	253	849
230	254	847
231	255	844
232	255	842
233	256	840
234	257	838
235	258	835
236	258	832
237	259	830
238	259	827
239	260	824
